IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z1CT14;549;545;8719;-0.8;3.0;10.6;;;;;;Bordeaux Quai Chartrons apres Hangar 14;Nord > Sud;;
Z9CT6;473;408;6274;-1.3;-6.3;-2.2;;;;;;Bordeaux Rue Larminat après Rue Redon;Sens Entrant;;
Z1CT5;1280;1181;22165;-0.9;9.0;35.3;;;;;;Bordeaux Quai Richelieu  Cailhau/Bourse;Sud > Nord;;
Z9CT7;495;406;6409;-6.8;-10.9;-4.8;;;;;;Bordeaux 154 Rue d'Ornano après Héron;Sens Entrant;;
Z1CT9;602;546;8806;-9.0;-9.4;-7.4;;;;;;Bordeaux Quai Chartrons ap Martinique;Nord > Sud;;
Z21CE;297;252;3538;21.8;-1.1;4.9;67;21.6;30;-9.1;;Le Bouscat 58 Av. de Tivoli;Sens Entrant;;
Z21CT6;155;168;2159;11.6;12.2;8.9;;;;;;Le Bouscat Av. de la Libération;;;
Z22CT2;380;495;5654;17.2;7.1;5.3;;;;;;Cenon Av. de Paris après 4 Pavillons;Sens Sortant;;
Z22CT7;291;359;5064;4.4;1.5;7.2;;;;;;Lormont Av. de Paris vers 4 Pavillons;Nord > Sud;;
Z23CT11;665;873;11814;-9.3;0.1;-4.7;;;;;;Eysines Av. du Médoc après G. Saux;Sens Sortant;;
Z23CT3;541;773;9452;-4.9;1.7;-5.3;;;;;;Bruges Rte du Médocavant Croix du Vigean;Sens Sortant;;
Z23CT5;348;336;4912;-7.5;-1.4;-5.7;;;;;;Eysines Rte de Pauillac avant Médoc;Sens Entrant;;
Z23CT6;301;311;4507;-8.1;-3.3;-5.3;;;;;;Eysines Av. du Médoc avant rte Pauillac;Sens Entrant;;
Z25CT12;646;719;8208;9.4;1.7;3.7;;;;;;Bordeaux Allée de Boutaut avant Laroque;Sens Sortant;;
Z25CT17;94;174;1898;17.0;-6.5;-4.6;;;;;;Bordeaux Quebec avant Royer;Nord > Sud;;
Z25CT18;239;341;2865;0.3;-20.1;-12.9;;;;;;Bordeaux Domergue S>N avant rocade;Sud > Nord;;
Z25CT19;494;369;4657;-1.2;28.4;12.9;;;;;;Bordeaux Vélodrome N>S;Nord > Sud;;
Z25CT20;423;416;4406;-13.9;-6.2;2.4;;;;;;Bordeaux Bricaud S>N avant vélodrome;Sud > Nord;;
Z25CT22;116;196;3076;5.3;6.7;10.3;;;;;;Bordeaux Brunet  apres Brandenbourg;Sud > Nord;;
Z25CT23;219;206;2701;11.8;-1.7;0.0;;;;;;Bordeaux Achard niveau Pourmann;Sens Sortant;;
Z25CT6;266;456;5527;-3.3;0.6;1.9;;;;;;Bordeaux Av. 40 Journaux avant Tobeen;Sud > Nord;;
Z26CT8;198;257;2475;18.4;10.0;8.0;;;;;;Bègles Moga  après Durcy;Sens Entrant;;
Z27BE;345;394;5354;20.2;-19.4;-0.2;270;-2.5;45;-10.0;;Pessac Av. Haut-Lévêque;Sens Entrant;;
Z27CT1;572;578;7280;2.1;-1.3;-1.0;;;;;;Pessac Av. Leclerc avant Félix Faure;Sens Entrant;;
Z27CT11;404;659;7439;-1.0;-2.1;-3.3;;;;;;Pessac Av. Leclerc après Meyraud;Sens Sortant;;
Z27CT12;575;610;8036;8.7;-0.1;0.5;;;;;;Pessac Av. Leclerc avant Meyraud;Sens Entrant;;
Z27CT3;506;664;6878;2.1;0.4;-1.4;;;;;;Pessac Pasteur avant l'Alouette;Sens Sortant;;
Z27CT4;498;693;8597;-2.9;-5.1;-3.8;;;;;;Pessac Av. Leclerc après Félix Faure;Sens Sortant;;
Z27CT7;414;543;5109;-1.6;4.8;-4.5;;;;;;Pessa Av. du bourgailh après Socrate;Nord > Sud;;
Z27CT8;554;349;4807;-6.3;-6.0;-8.5;;;;;;Pessac Rue des Anciens de l'AFN;Nord > Sud;;
Z29AS;157;452;3313;21.4;15.5;6.8;83;37.8;50;-10.7;;Artigues Blvd de Feydeau;Sens Sortant;;
Z29BE;1210;1098;15876;-27.5;-24.0;-14.7;461;-20.2;46;-9.8;;Bordeaux Blvd Joliot Curie après Benauge;Sens Entrant;;
Z29CT13;168;204;2350;-1.1;-11.5;-12.6;;;;;;Floirac Av. Clémenceau après Dubedout;Sud > Nord;;
Z29CT14;474;485;5957;9.9;5.4;5.1;;;;;;Cenon Av. Jean Zay avant PP Gsc Perrault;Sens Entrant;;
Z29CT9;440;317;3792;4.0;1.6;0.8;;;;;;Floirac Dubedout avant Allende;Sens Entrant;;
Z2CT20;79;144;2222;-10.7;10.9;-3.5;;;;;;Bordeaux Montée place Bir Hakeim;Bretelle Nord > Sud Montée vers pl Bir Hakeim;;
Z2CT24;112;179;2975;-5.6;-9.9;-4.4;;;;;;Bordeaux Alsace-Lorraine après Cheverus;Sens Sortant;;
Z30CT13;466;464;6286;4.8;-2.9;2.7;;;;;;Mérignac Av. Mendès-France;Sud > Nord;;
Z30CT15;78;130;1468;14.5;20.3;26.4;;;;;;Mérignac Rte  Pessac;Nord > Sud;;
Z30CT9;542;363;5489;35.5;19.5;21.1;;;;;;Mérignac Av. de la Marne après M. France;Sens Sortant;;
Z30GE;947;678;11178;4.8;-24.5;-6.8;1082;-4.6;57;-10.9;;Mérignac Av. François Mitterrand;Sens Entrant;;
