IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z23DE;188;285;3041;13,53%;-0,28%;8,97%;203;8,90%;50.4;-0.9;;Brugesrue de Fieuzal (face au lac);Sens Entrant;;
Z24AE;498;528;6667;-12,59%;-4,93%;-3,40%;325;0,36%;37.3;-4.3;;Eysines 245 av. de St Médard;Sens Entrant;;
Z24AS;630;630;7132;7,69%;-0,16%;3,60%;358;-1,00%;45.1;-4.5;;Eysines 245 av. de Saint Médard;Sens Sortant;;
Z27AE;641;695;7335;5,84%;4,68%;1,49%;281;-5,86%;40.5;-1.9;;Pessac avenue Pasteur niveau rocade;Sens Entrant;;
Z29CS;841;1436;12368;-5,54%;-2,48%;-0,49%;304;1,29%;39.0;-1.2;;Cenon Bld de l'Entre-deux-Mers;Sens Sortant;;
Z29DE;966;676;9460;0,96%;-0,95%;1,06%;334;2,02%;32.4;0.1;;Cenon av. Jean Zay / bretelle rocade;Sens Entrant;;
Z30AS;1219;889;13675;5,87%;-4,70%;0,69%;364;-5,67%;47.3;-1.6;;Mérignac av. Kennedy Matosinhos Lartigue;Sens Sortant;;
Z30BS;784;697;9198;-4,96%;-4,05%;-2,92%;258;-1,28%;37.3;-1.5;;Mérignac av. de la Marne;Sens Sortant;;
Z30CE;350;612;6042;2,79%;2,12%;-0,10%;196;1,85%;32.1;-1.5;;Mérignac face 153 av. de la Somme;Sens Entrant;;
Z30DSN;573;544;6685;-5,42%;2,24%;1,55%;165;-3,59%;35.9;3.3;;Mérignac 66 av.Pierre Mendès France;Sens Pessac vers Mérignac;;
Z30ENS;254;488;4060;-17,52%;-4,69%;-5,00%;94;-0,66%;44.0;0.4;;Mérignac Av. Bon Air (caserne du Burck);Sens Mérignac vers Pessac;;
Z30ESN;436;314;3786;-30,15%;-21,10%;-14,93%;91;-14,70%;42.0;6.7;;Mérignac Av. Bon Air (caserne du Burck);Ssens Pessac vers Mérignac;;
Z1CT1;864;765;11594;4,70%;0,94%;3,19%;;;;;;Bordeaux 17 Quai Louis XVIII Ferrère;Nord > Sud;;
Z1CT9;716;584;9755;6,16%;1,82%;5,24%;;;;;;Bordeaux Quai Chartrons ap Martinique;Nord > Sud;;
Z1CT12;1404;1671;20973;8,25%;5,30%;7,87%;;;;;;Bordeaux Quai Ste Croix après P. Monnaie;Nord > Sud;;
Z2CT6;156;173;2539;-8,27%;-6,40%;-4,51%;;;;;;Bordeaux Rue PL Lande sortie Ste Eulalie;Sens Entrant;;
Z2CT7;398;318;4675;-11,11%;-16,39%;-11,28%;;;;;;Bordeaux Juin A.France;Sens Sortant;;
Z2CT8;184;218;3198;-8,36%;-3,06%;-7,75%;;;;;;Bordeaux Cours Juin  avant A.France;Sens Entrant;;
Z2CT10;518;422;6729;-2,12%;-6,18%;-7,64%;;;;;;Bordeaux Cursol après Pasteur;Sens Entrant;;
Z2CT11;592;503;8228;1,83%;-1,16%;-1,95%;;;;;;Bordeaux Cours d'Albret après République;Sud > Nord;;
Z2CT12;290;254;4068;-0,92%;-6,12%;-7,37%;;;;;;Bordeaux Pl République vers Albret;Sens Entrant;;
Z2CT23;238;403;4211;-5,21%;-1,93%;-0,93%;;;;;;Bordeaux Rue de Belfort après Juin;Nord > Sud;;
